,r5,iso3
1,r5oecd,CAN
2,r5oecd,JPN
3,r5oecd,NZL
4,r5asia,CHN
5,r5asia,HKG
6,r5asia,MAC
7,r5asia,TWN
8,r5asia,ASM
9,r5asia,BRN
10,r5asia,CCK
11,r5asia,FJI
12,r5asia,FSM
13,r5asia,GUM
14,r5asia,IDN
15,r5asia,KHM
16,r5asia,KIR
17,r5asia,PRK
18,r5asia,LAO
19,r5asia,MHL
20,r5asia,MMR
21,r5asia,MNG
22,r5asia,MNP
23,r5asia,MYS
24,r5asia,NCL
25,r5asia,PHL
26,r5asia,PLW
27,r5asia,PNG
28,r5asia,PYF
29,r5asia,SGP
30,r5asia,SLB
31,r5asia,THA
32,r5asia,TLS
33,r5asia,TON
34,r5asia,VNM
35,r5asia,VUT
36,r5asia,WSM
37,r5oecd,AUS
38,r5oecd,KOR
39,r5oecd,ZAF
40,r5lam,ABW
41,r5lam,AIA
42,r5lam,ARG
43,r5lam,ATG
44,r5lam,BES
45,r5lam,BHS
46,r5lam,BLM
47,r5lam,BLZ
48,r5lam,BOL
49,r5lam,BRA
50,r5lam,BRB
51,r5lam,CHL
52,r5lam,COL
53,r5lam,CRI
54,r5lam,CUB
55,r5lam,CUW
56,r5lam,CYM
57,r5lam,DMA
58,r5lam,DOM
59,r5lam,ECU
60,r5lam,FLK
61,r5lam,GLP
62,r5lam,GRD
63,r5lam,GTM
64,r5lam,GUF
65,r5lam,GUY
66,r5lam,HND
67,r5lam,HTI
68,r5lam,JAM
69,r5lam,KNA
70,r5lam,LCA
71,r5lam,MAF
72,r5lam,MEX
73,r5lam,MSR
74,r5lam,MTQ
75,r5lam,NIC
76,r5lam,PAN
77,r5lam,PER
78,r5lam,PRI
79,r5lam,PRY
80,r5lam,SLV
81,r5lam,SUR
82,r5lam,SXM
83,r5lam,TTO
84,r5lam,URY
85,r5lam,VCT
86,r5lam,VEN
87,r5asia,IND
88,r5maf,ARE
89,r5maf,BHR
90,r5maf,DJI
91,r5maf,DZA
92,r5maf,EGY
93,r5maf,ESH
94,r5maf,IRN
